date,symbol,open,high,low,close,adj_close,volume
2024-10-15,AAON,112.06999969482422,112.4800033569336,110.1999969482422,110.98999786376952,110.2816390991211,264800.0
2024-10-15,AAPL,233.6100006103516,237.4900054931641,232.3699951171875,233.8500061035156,232.11004638671875,64751400.0
2024-10-15,ACHR,3.0799999237060547,3.150000095367432,3.039999961853028,3.109999895095825,3.109999895095825,8497500.0
2024-10-15,ACM,106.2699966430664,107.55999755859376,105.9499969482422,106.20999908447266,104.49793243408205,706300.0
2024-10-15,ADBE,513.8200073242188,517.77001953125,506.7999877929688,508.0299987792969,508.0299987792969,3605700.0
2024-10-15,AEP,99.37000274658205,100.61000061035156,99.27999877929688,99.66000366210938,93.9436492919922,3174200.0
2024-10-15,AMAT,213.67999267578125,215.6999969482422,189.57000732421875,191.0200042724609,188.21408081054688,16613200.0
2024-10-15,AMD,163.2100067138672,164.1300048828125,155.74000549316406,156.63999938964844,156.63999938964844,50768000.0
2024-10-15,AMT,224.0,229.72999572753903,223.3699951171875,229.42999267578125,217.5259552001953,2310100.0
2024-10-15,AMZN,187.6300048828125,188.4100036621093,184.5800018310547,187.69000244140625,187.69000244140625,32178900.0
2024-10-15,ANET,103.5,103.6500015258789,95.57749938964844,98.07749938964844,98.07749938964844,16107600.0
2024-10-15,APG,22.33333206176757,22.440000534057617,22.02666664123535,22.3799991607666,22.3799991607666,3086700.0
2024-10-15,ARM,160.0,160.6199951171875,147.0,150.6699981689453,150.6699981689453,9584300.0
2024-10-15,ASML,867.219970703125,873.6500244140625,717.5,730.4299926757812,719.3187866210938,9350700.0
2024-10-15,ASTS,24.440000534057617,24.979999542236328,23.809999465942383,24.25,24.25,7848300.0
2024-10-15,AVAV,215.44000244140625,217.3500061035156,209.5200042724609,214.1100006103516,214.1100006103516,298000.0
2024-10-15,AVGO,180.7899932861328,181.6999969482422,173.3699951171875,175.97999572753906,173.57388305664062,27657500.0
2024-10-15,BA,150.5,153.9499969482422,148.5500030517578,152.35000610351562,152.35000610351562,11241700.0
2024-10-15,CAT,390.6300048828125,392.4700012207031,387.5899963378906,387.989990234375,379.2387390136719,2715100.0
2024-10-15,CCI,113.12999725341795,115.33000183105467,112.8499984741211,114.3000030517578,105.6564712524414,2866000.0
2024-10-15,CDNS,283.6600036621094,284.3500061035156,268.8599853515625,269.4700012207031,269.4700012207031,2477200.0
2024-10-15,CEG,269.79998779296875,269.79998779296875,262.3399963378906,266.1499938964844,263.4896545410156,3000900.0
2024-10-15,CIEN,67.43000030517578,67.87999725341797,65.7699966430664,65.87000274658203,65.87000274658203,2028900.0
2024-10-15,CRM,293.4599914550781,293.5799865722656,288.0,288.3500061035156,285.4393920898437,3850800.0
2024-10-15,CRWD,309.54998779296875,310.5199890136719,300.69000244140625,302.3099975585937,302.3099975585937,3765400.0
2024-10-15,CSCO,54.41999816894531,54.61000061035156,53.91999816894531,54.08000183105469,52.15721893310547,20066300.0
2024-10-15,DDOG,128.47000122070312,128.66000366210938,125.7249984741211,126.87999725341795,126.87999725341795,2703900.0
2024-10-15,DE,405.0199890136719,409.0400085449219,401.4800109863281,401.989990234375,393.8997497558594,834600.0
2024-10-15,DELL,128.83999633789062,131.1300048828125,125.66000366210938,125.83000183105467,122.22989654541016,6016600.0
2024-10-15,DUK,116.5,118.06999969482422,115.6999969482422,117.12000274658205,110.0679702758789,2863200.0
2024-10-15,DY,188.88999938964844,189.4900054931641,185.5,187.9900054931641,187.9900054931641,210700.0
2024-10-15,EME,452.9400024414063,454.3999938964844,441.6000061035156,444.9100036621094,443.5477294921875,245800.0
2024-10-15,EQIX,872.1199951171875,882.02001953125,868.489990234375,878.030029296875,845.4830932617188,558100.0
2024-10-15,ETN,346.4599914550781,347.3500061035156,337.4700012207031,338.0400085449219,330.8562927246094,1861800.0
2024-10-15,EXC,40.16999816894531,40.810001373291016,40.08000183105469,40.560001373291016,38.41784286499024,6077300.0
2024-10-15,FDX,267.7699890136719,269.07000732421875,265.6400146484375,265.9200134277344,257.4525146484375,1363200.0
2024-10-15,FELE,106.2300033569336,106.83000183105467,104.87999725341795,105.18000030517578,103.19568634033205,123800.0
2024-10-15,FIX,419.7900085449219,423.2300109863281,410.5799865722656,413.5400085449219,411.3824768066406,313500.0
2024-10-15,FTNT,82.66000366210938,82.98999786376953,82.18000030517578,82.63999938964844,82.63999938964844,5379000.0
2024-10-15,GEV,270.0,270.8699951171875,260.04998779296875,266.3599853515625,265.3746643066406,2190200.0
2024-10-15,GFS,41.0,41.79999923706055,40.04999923706055,40.2599983215332,40.2599983215332,1478100.0
2024-10-15,GOOGL,165.7899932861328,167.67999267578125,164.6300048828125,165.4600067138672,164.51004028320312,20247200.0
2024-10-15,GVA,81.31999969482422,81.77999877929688,80.6500015258789,81.37999725341797,80.72997283935547,856400.0
2024-10-15,HON,205.466537475586,206.61639404296875,204.033935546875,204.77850341796875,197.3516540527344,4189252.0
2024-10-15,HPE,20.809999465942383,21.09000015258789,20.65999984741211,20.739999771118164,19.94136428833008,14362600.0
2024-10-15,HUBB,461.7699890136719,461.7699890136719,449.4200134277344,451.3900146484375,442.9873352050781,385197.0
2024-10-15,HWM,102.9000015258789,104.29000091552734,102.20999908447266,103.91000366210938,103.45508575439452,2479600.0
2024-10-15,IESC,229.08999633789065,231.5399932861328,215.0,219.94000244140625,219.94000244140625,130100.0
2024-10-15,INTC,23.40999984741211,23.71999931335449,22.46999931335449,22.65999984741211,22.65999984741211,68900600.0
2024-10-15,IRDM,29.799999237060547,30.280000686645508,29.739999771118164,30.06999969482422,28.97503089904785,871000.0
2024-10-15,IRM,122.2300033569336,123.5500030517578,121.54000091552734,122.0,116.0542984008789,1144400.0
2024-10-15,JCI,77.5199966430664,77.75,76.4800033569336,76.5999984741211,75.4004135131836,3095400.0
2024-10-15,JOBY,5.539999961853027,5.610000133514404,5.360000133514404,5.420000076293945,5.420000076293945,5557700.0
2024-10-15,KLAC,825.52001953125,832.3800048828125,698.9600219726562,707.719970703125,697.981689453125,2870900.0
