rank,theme,theme_score,selected
1,VALMAX_046612,0.5977795397936401,True
2,DEFENSE_040838,0.5635081782806366,False
3,TOP5_041880,0.5245553425985912,False
4,BALANCED_058008,0.28759971284378966,False
