market,cycle_rebalance_date,source_signal_date,rebalance_step_trading_days,baseline_type,created_at
TW,2026-06-18,2026-06-18,46,manual_go_live_close,2026-06-22T11:12:14
US,2026-06-18,2026-06-18,10,manual_go_live_close,2026-06-22T11:12:14
