snapshot_at,exported_at,market,symbol,name,theme,target_weight,price_date,target_amount,target_shares,current_shares,diff_shares,action,entry_status,entry_gap_pct,entry_current_price,entry_signal_date,entry_signal_close,buy_lower_price,buy_upper_price,tracking_base_date,tracking_base_price,tracking_return_pct
2026-06-20T05:54:50,2026-06-20T06:51:20,TW,2327.TW,國巨*,passive_component,0.3333333333333333,2026-06-15,333333.3333333333,354.0,0.0,354.0,新增,禁止新買,11.638954869358663,940.0,2026-06-11,842.0,783.06,867.26,2026-06-11,842.0,11.638954869358663
2026-06-20T05:54:50,2026-06-20T06:51:20,TW,2454.TW,聯發科,ic_design_mobile,0.3333333333333333,2026-06-15,333333.3333333333,74.0,0.0,74.0,新增,禁止新買,9.424724602203185,4470.0,2026-06-11,4085.0,3799.05,4207.55,2026-06-11,4085.0,9.424724602203185
2026-06-20T05:54:50,2026-06-20T06:51:20,TW,3189.TW,景碩,substrate,0.3333333333333333,2026-06-15,333333.3333333333,505.0,0.0,505.0,新增,禁止新買,6.623586429725359,660.0,2026-06-11,619.0,575.67,637.57,2026-06-11,619.0,6.623586429725359
2026-06-20T05:54:50,2026-06-20T06:51:20,US,SNDK,Sandisk Corporation - Common Stock When-Issued,memory_storage,0.25,2026-06-18,25000.0,11.442956860052638,0.0,11.442956860052638,新增,禁止新買,37.41085075626567,2184.75,2026-05-27,1589.93994140625,1510.4429443359377,1669.4369384765623,2026-05-27,1589.93994140625,37.41085075626567
2026-06-20T05:54:50,2026-06-20T06:51:20,US,ARM,Arm Holdings plc - American Depositary Shares,ai_compute,0.25,2026-06-18,25000.0,56.88800001388867,0.0,56.88800001388867,新增,可買滿,0.0,439.4599914550781,2026-06-18,439.4599914550781,417.4869918823242,461.432991027832,2026-06-18,439.4599914550781,0.0
2026-06-20T05:54:50,2026-06-20T06:51:20,US,MRVL,"Marvell Technology, Inc. - Common Stock",ai_compute,0.25,2026-06-18,25000.0,80.49456204797346,0.0,80.49456204797346,新增,可買滿,0.0,310.5799865722656,2026-06-18,310.5799865722656,295.05098724365234,326.1089859008789,2026-06-18,310.5799865722656,0.0
2026-06-20T05:54:50,2026-06-20T06:51:20,US,WDC,Western Digital Corporation - Common Stock,memory_storage,0.25,2026-06-18,25000.0,33.50173626674187,0.0,33.50173626674187,新增,可買滿,0.0,746.22998046875,2026-06-18,746.22998046875,708.9184814453125,783.5414794921875,2026-06-18,746.22998046875,0.0
2026-06-20T09:38:29,2026-06-20T09:38:50,TW,2327.TW,國巨*,passive_component,0.3333333333333333,2026-06-18,333333.3333333333,308.0,0.0,308.0,新增,禁止新買,28.26603325415677,1080.0,2026-06-11,842.0,783.06,867.26,2026-06-11,842.0,28.26603325415677
2026-06-20T09:38:29,2026-06-20T09:38:50,TW,2454.TW,聯發科,ic_design_mobile,0.3333333333333333,2026-06-18,333333.3333333333,75.0,0.0,75.0,新增,禁止新買,7.466340269277838,4390.0,2026-06-11,4085.0,3799.05,4207.55,2026-06-11,4085.0,7.466340269277838
2026-06-20T09:38:29,2026-06-20T09:38:50,TW,3189.TW,景碩,substrate,0.3333333333333333,2026-06-18,333333.3333333333,460.0,0.0,460.0,新增,禁止新買,16.96284329563813,724.0,2026-06-11,619.0,575.67,637.57,2026-06-11,619.0,16.96284329563813
2026-06-20T09:38:29,2026-06-20T09:38:50,US,SNDK,Sandisk Corporation - Common Stock When-Issued,memory_storage,0.25,2026-06-18,25000.0,11.442956860052638,0.0,11.442956860052638,新增,禁止新買,37.41085075626567,2184.75,2026-05-27,1589.93994140625,1510.4429443359377,1669.4369384765623,2026-05-27,1589.93994140625,37.41085075626567
2026-06-20T09:38:29,2026-06-20T09:38:50,US,ARM,Arm Holdings plc - American Depositary Shares,ai_compute,0.25,2026-06-18,25000.0,56.88800001388867,0.0,56.88800001388867,新增,可買滿,0.0,439.4599914550781,2026-06-18,439.4599914550781,417.4869918823242,461.432991027832,2026-06-18,439.4599914550781,0.0
2026-06-20T09:38:29,2026-06-20T09:38:50,US,MRVL,"Marvell Technology, Inc. - Common Stock",ai_compute,0.25,2026-06-18,25000.0,80.49456204797346,0.0,80.49456204797346,新增,可買滿,0.0,310.5799865722656,2026-06-18,310.5799865722656,295.05098724365234,326.1089859008789,2026-06-18,310.5799865722656,0.0
